end_time,artist_name,track_name,ms_played
2021-04-10 01:17,NF,THAT'S A JOKE,229656
2021-04-10 01:22,NF,JUST LIKE YOU,251236
2021-04-10 01:37,NF,STORY,15208
2021-04-10 01:40,NF,PRIDEFUL,205768
2021-04-10 01:44,NF,LOST,234852
2021-04-10 01:47,NF,LAYERS,151549
2021-04-10 19:31,JAY-Z,Smile,5932
2021-04-10 19:31,JAY-Z,The Story of O.J.,231760
2021-04-10 19:34,Francis and the Lights,Friends (feat. Bon Iver),188336
2021-04-10 19:35,Francis and the Lights,Thank You,97770
2021-04-10 19:42,Phoebe Bridgers,I Know The End,335773
2021-04-10 19:42,Tame Impala,One More Year,6996
2021-04-10 19:45,Tame Impala,Instant Destiny,194707
2021-04-10 19:49,Tame Impala,Posthumous Forgiveness,1355
2021-04-10 19:49,Tame Impala,Borderline,237800
2021-04-10 19:54,Evaline,A Protest in Lines Too Thin to Read,265933
2021-04-10 19:55,Evaline,There There,88723
2021-04-10 19:57,KennyHoopla,estella//,118733
2021-04-10 20:15,KennyHoopla,how will i rest in peace if i'm buried by a highway?//,14235
2021-04-10 20:54,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),6816
2021-04-10 20:56,Justin Bieber,2 Much,145739
2021-04-10 23:56,NF,CLOUDS,243760
2021-04-11 00:00,NF,THAT'S A JOKE,229656
2021-04-11 00:03,Justin Bieber,Deserve You,158965
2021-04-11 00:04,NF,JUST LIKE YOU,251236
2021-04-11 00:04,NF,STORY,5629
2021-04-11 00:05,NF,PRIDEFUL,2560
2021-04-11 00:06,NF,LOST,110208
2021-04-12 03:19,Arcade Fire,Everything Now,29493
2021-04-12 03:19,Father John Misty,Total Entertainment Forever,173893
2021-04-12 03:23,Death Cab for Cutie,Soul Meets Body,229413
2021-04-12 03:27,Death Cab for Cutie,Crooked Teeth,203733
2021-04-12 03:32,Spoon,Inside Out,301960
2021-04-12 03:36,Grizzly Bear,Two Weeks,243160
2021-04-12 03:39,Band of Horses,No One's Gonna Love You,217333
2021-04-12 03:44,Local Natives,When Am I Gonna Lose You,264213
2021-04-12 03:45,Death Cab for Cutie,I Dreamt We Spoke Again,52550
2021-04-13 17:10,The Synthetic Flying Machine,Leave It on the Table,188757
2021-04-13 17:14,Major Bedhead,I'm Looking Through You,208566
2021-04-13 17:17,Major Bedhead,Learn the Exit,216725
2021-04-13 17:21,Builders,Fixed Revolution,217077
2021-04-13 17:39,Builders,New Friends (Old Friends),186344
2021-04-13 21:27,Phoebe Bridgers,Kyoto,184524
2021-04-13 21:30,Phoebe Bridgers,Punisher,189622
2021-04-13 21:34,Phoebe Bridgers,Halloween,271267
2021-04-13 21:38,Phoebe Bridgers,Chinese Satellite,217070
2021-04-13 21:43,Phoebe Bridgers,Moon Song,277677
2021-04-13 21:47,Phoebe Bridgers,Savior Complex,241640
2021-04-13 21:50,Phoebe Bridgers,ICU,190093
2021-04-13 21:54,Phoebe Bridgers,Graceland Too,236350
2021-04-13 21:59,Phoebe Bridgers,I Know The End,344693
2021-04-13 22:09,Phoebe Bridgers,I Know The End,344693
2021-04-13 22:14,Better Oblivion Community Center,Didn't Know What I Was in For,243227
2021-04-13 22:17,Better Oblivion Community Center,Sleepwalkin',192707
2021-04-13 22:21,Better Oblivion Community Center,Dylan Thomas,216787
2021-04-13 22:25,Better Oblivion Community Center,Service Road,224333
2021-04-13 22:27,Better Oblivion Community Center,Exception to the Rule,171287
2021-04-13 22:31,Better Oblivion Community Center,Chesapeake,244486
2021-04-13 22:36,Better Oblivion Community Center,My City,244360
2021-04-13 22:39,Better Oblivion Community Center,Forest Lawn,226240
2021-04-13 22:40,Better Oblivion Community Center,Big Black Heart,27412
2021-04-13 22:43,Sufjan Stevens,Meditation I,220020
2021-04-13 22:46,Sufjan Stevens,Meditation II,147028
2021-04-13 22:50,Sufjan Stevens,Meditation III,244460
2021-04-13 22:50,Sufjan Stevens,Meditation IV,678
2021-04-13 22:57,Bryce Dessner,Jupiter,430383
2021-04-15 06:46,Probable Causation,"Episode 49: Michael Makowsky on the minimum wage, EITC, and recidivism",2994801
2021-04-17 00:57,Probable Causation,Episode 47: Greg Midgette on the 24/7 Sobriety program,4458
2021-04-17 01:21,Probable Causation,"Episode 49: Michael Makowsky on the minimum wage, EITC, and recidivism",1412716
2021-04-17 01:23,Probable Causation,Episode 0: Promo,49072
2021-04-17 01:24,Probable Causation,"Episode 49: Michael Makowsky on the minimum wage, EITC, and recidivism",34986
2021-04-17 01:24,Probable Causation,Episode 1: Chloe Gibbs on the intergenerational effects of Head Start,65478
2021-04-17 01:57,Probable Causation,Episode 48: Cody Tuttle on SNAP benefits and recidivism,738005
2021-04-17 02:42,Probable Causation,Bonus episode: David Skarbek on the social order of prisons,2701310
2021-04-17 03:42,Probable Causation,Episode 8: Amanda Agan on Ban the Box (REBROADCAST),3554077
2021-04-19 01:01,Probable Causation,Episode 16: Stephen Billings on lead and crime (REBROADCAST),3191526
2021-04-19 01:58,Probable Causation,Episode 33: Jason Lindo on violent media content,3291677
2021-04-19 02:50,Probable Causation,Episode 34: David Phillips on emergency financial assistance,3119844
2021-04-19 02:51,Probable Causation,Episode 35: Erich Muehlegger on air pollution and crime,76629
2021-04-19 02:54,Justin Bieber,2 Much,152796
2021-04-19 02:57,Justin Bieber,Deserve You,187238
2021-04-19 02:58,Justin Bieber,As I Am (feat. Khalid),30034
2021-04-19 03:06,Justin Timberlake,Mirrors,484146
2021-04-19 03:07,Justin Timberlake,Take Back the Night,74691
2021-04-19 03:15,Justin Timberlake,Pusher Love Girl,482360
2021-04-19 03:17,Justin Timberlake,Strawberry Bubblegum,91561
2021-04-19 03:20,Harry Styles,Watermelon Sugar,174000
2021-04-19 03:23,Billie Eilish,my future,208155
2021-04-19 03:27,Harry Styles,"Sunflower, Vol. 6",221826
2021-04-19 03:28,The 1975,If You’re Too Shy (Let Me Know),11990
2021-04-19 03:31,Calvin Harris,Slide (feat. Frank Ocean & Migos),230813
2021-04-19 03:33,Calvin Harris,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",99801
2021-04-19 03:38,Jamie xx,Loud Places,283066
2021-04-19 03:39,Jamie xx,Gosh,77585
2021-04-19 03:40,sondai,SIGNAL FIRE,9344
2021-04-19 03:41,Under Sun,Captured - Signum Signal Remix,64234
2021-04-19 03:44,Francis and the Lights,Friends (feat. Bon Iver),188336
2021-04-19 03:44,Francis and the Lights,May I Have This Dance (Remix) [feat. Chance the Rapper],0
2021-04-19 03:48,Bon Iver,iMi,196360
2021-04-19 03:52,Soccer Mommy,circle the drain,280213
2021-04-19 03:56,Phoebe Bridgers,Kyoto,184524
2021-04-19 03:57,Whitney,Used To Be Lonely,64869
2021-04-19 04:00,Anderson .Paak,'Til It's Over,202080
2021-04-19 04:05,Anderson .Paak,Tints (feat. Kendrick Lamar),268400
2021-04-19 04:07,Unknown Mortal Orchestra,So Good At Being in Trouble,110621
2021-04-19 04:12,Coldplay,Arabesque,340280
2021-04-19 04:17,Coldplay,Trouble In Town,278906
2021-04-19 04:18,The National,Light Years,53008
2021-04-19 04:28,Damien Rice,It Takes a Lot to Know a Man,572775
2021-04-19 04:33,Damien Rice,I Don't Want to Change You,326206
2021-04-19 04:40,Manchester Orchestra,The Silence,396188
2021-04-22 04:38,Builders,New Friends (Old Friends),186773
2021-04-22 04:41,Builders,Pretend Rivers,161173
2021-04-22 04:45,50 Cent,P.I.M.P.,249466
2021-04-22 04:45,50 Cent,21 Questions,6556
2021-04-22 04:48,50 Cent,What Up Gangsta,179453
2021-04-22 04:53,50 Cent,Patiently Waiting,288893
2021-04-22 04:57,50 Cent,Many Men (Wish Death),256226
2021-04-22 05:01,50 Cent,In Da Club,193466
2021-04-22 05:05,50 Cent,High All The Time,269360
2021-04-22 05:28,50 Cent,Heat,254906
2021-04-22 05:31,50 Cent,If I Can't,196640
2021-04-22 05:35,50 Cent,Blood Hound,239986
